asn,cc
1228,ZA
1229,ZA
1230,ZA
1231,ZA
1232,ZA
2018,ZA
2561,EG
2905,ZA
3067,ZA
3068,ZA
3208,DZ
3741,ZA
4178,ZA
4571,ZA
5536,ZZ
5713,ZA
5734,ZA
6083,ZA
6089,ZA
6127,EG
6149,ZA
6180,ZA
6187,ZA
6351,ZA
6529,ZA
6560,ZA
6713,MA
6879,EG
6968,ZA
7020,ZA
7154,ZA
7231,ZA
7390,ZA
7420,ZM
7460,ZA
7971,ZA
7972,ZA
8094,ZA
8524,EG
8770,ZZ
9129,ZA
10247,ZA
10262,ZA
10331,ZA
10393,ZA
10474,ZA
10505,ZA
10540,ZA
10575,ZA
10798,ZA
10803,ZA
10898,ZA
11125,ZA
11157,ZA
11201,ZZ
11259,AO
11265,ZZ
11380,ZZ
11569,ZA
11645,ZA
11744,ZA
11845,ZA
11909,ZZ
12091,ZA
12143,TZ
12258,ZA
12455,KE
12556,KE
13224,ZZ
13402,ZZ
13519,ZZ
13569,ZZ
13854,ZA
14029,ZZ
14115,ZA
14331,ZA
14429,ZZ
14516,ZA
14988,BW
15022,ZA
15159,ZZ
15399,KE
15475,EG
15706,SD
15804,ZZ
15825,GH
15834,ZZ
15964,CM
16058,GA
16214,DZ
16284,NG
16416,ZZ
16547,ZZ
16630,ZZ
16637,ZA
16800,ZA
16853,ZZ
16907,KE
17148,ZA
17220,ZZ
17260,ZZ
17312,ZZ
17400,AO
17652,MU
18775,ZZ
18922,ZW
18931,ZA
19136,ZZ
19232,ZA
19676,MU
19711,SZ
19832,ZA
19847,ZZ
20011,ZA
20086,ZZ
20095,ZZ
20180,SC
20294,UG
20459,
20484,ZZ
20858,EG
20928,EG
21003,LY
21152,ZZ
21242,SC
21271,ML
21278,ZZ
21280,MU
21391,DZ
21452,ZZ
21739,ZA
21819,ZZ
22354,TZ
22355,ZA
22386,ZA
22572,ZA
22690,RW
22735,
22750,ZA
22939,ZZ
23058,ZA
23549,UG
23889,MU
24736,EG
24757,ET
24788,ZA
24801,ZZ
24835,EG
24863,EG
24878,EG
24987,EG
25163,NG
25250,GM
25362,ZZ
25364,EG
25543,BF
25568,ZZ
25576,EG
25695,LS
25726,ZA
25793,ZA
25818,ZA
26106,ZA
26130,NE
26422,ZA
26625,ZZ
26754,ZZ
27576,ZW
27598,ZA
28683,BJ
28698,ZA
28913,ZZ
29091,NG
29338,ZZ
29340,GH
29428,EG
29495,ZZ
29544,MR
29571,CI
29614,GH
29674,GH
29918,ZA
29975,ZA
30073,ZZ
30306,ZZ
30429,ZZ
30619,MZ
30896,KE
30980,ZZ
30982,TG
30983,MA
30984,NG
30985,ML
30986,GH
30987,ER
30988,NG
30989,ZZ
30990,DJ
30991,ZZ
30992,CM
30993,EG
30994,KE
30995,EG
30996,ZZ
30997,GH
30998,NG
30999,MU
31065,EG
31245,TN
31619,EG
31810,TZ
31856,ZW
31960,MZ
32017,MZ
32279,BW
32398,SZ
32437,ZA
32653,ZA
32714,ZA
32717,AO
32842,ZZ
32860,TZ
33567,LS
33579,ZA
33762,ZA
33763,
33764,MU
33765,TZ
33766,ZA
33767,LS
33768,MU
33769,ZA
33770,KE
33771,KE
33772,ZZ
33773,MW
33774,DZ
33775,ZZ
33776,ZZ
33777,EG
33778,EG
33779,DZ
33780,ZZ
33781,BW
33782,EG
33783,ZZ
33784,ZA
33785,EG
33786,GH
33787,ZZ
33788,SD
33789,EG
33790,ZA
33791,TZ
36864,ML
36865,MZ
36866,KE
36867,SC
36868,MU
36869,ZZ
36870,EG
36871,MU
36872,NG
36873,NG
36874,ZA
36875,ZA
36876,UG
36877,MU
36878,ZZ
36879,ZZ
36880,ZZ
36881,AO
36882,ZZ
36883,ZZ
36884,MA
36885,EG
36886,KE
36887,ZZ
36888,ZZ
36889,ZA
36890,RW
36891,DZ
36892,SS
36893,ZZ
36894,MU
36895,ZZ
36896,ZZ
36897,ZZ
36898,ZA
36899,ZZ
36900,ZZ
36901,UG
36902,SC
36903,MA
36904,KE
36905,CM
36906,EG
36907,AO
36908,TZ
